"129"
"name01","A24_AQ00",""
"name02","A24_AQ01",""
"name03","A24_AQ02",""
"name04","A24_AQ03",""
"name05","     ",""
"name06","     ",""
"name07","     ",""
"name08","     ",""
"name09","     ",""
"name10","     ",""
"name11","     ",""
"name12","     ",""
"name13","     ",""
"name14","     ",""
"name15","     ",""
"name16","     ",""
"name17","     ",""
"name18","     ",""
"name19","     ",""
"name20","     ",""
"name21","     ",""
"name22","     ",""
"name23","     ",""
"name24","     ",""
"name25","     ",""
"name26","     ",""
"name27","     ",""
"name28","     ",""
"name29","     ",""
"name30","     ",""
"name31","     ",""
"name32","     ",""
"description01","Уставка позиции клапана Regada 4-20мА",""
"description02","Резерв",""
"description03","Резерв",""
"description04","Резерв",""
"description05","     ",""
"description06","     ",""
"description07","     ",""
"description08","     ",""
"description09","     ",""
"description10","     ",""
"description11","     ",""
"description12","     ",""
"description13","     ",""
"description14","     ",""
"description15","     ",""
"description16","     ",""
"description17","     ",""
"description18","     ",""
"description19","     ",""
"description20","     ",""
"description21","     ",""
"description22","     ",""
"description23","     ",""
"description24","     ",""
"description25","     ",""
"description26","     ",""
"description27","     ",""
"description28","     ",""
"description29","     ",""
"description30","     ",""
"description31","     ",""
"description32","     ",""
"pipename01","     ",""
"pipename02","     ",""
"pipename03","     ",""
"pipename04","     ",""
"pipename05","     ",""
"pipename06","     ",""
"pipename07","     ",""
"pipename08","     ",""
"pipename09","     ",""
"pipename10","     ",""
"pipename11","     ",""
"pipename12","     ",""
"pipename13","     ",""
"pipename14","     ",""
"pipename15","     ",""
"pipename16","     ",""
"pipename17","     ",""
"pipename18","     ",""
"pipename19","     ",""
"pipename20","     ",""
"pipename21","     ",""
"pipename22","     ",""
"pipename23","     ",""
"pipename24","     ",""
"pipename25","     ",""
"pipename26","     ",""
"pipename27","     ",""
"pipename28","     ",""
"pipename29","     ",""
"pipename30","     ",""
"pipename31","     ",""
"pipename32","     ",""
"source01","Fix32.FIX.A24_AQ00.F_CV",""
"source02","Fix32.FIX.A24_AQ01.F_CV",""
"source03","Fix32.FIX.A24_AQ02.F_CV",""
"source04","Fix32.FIX.A24_AQ03.F_CV",""
"source05","     ",""
"source06","     ",""
"source07","     ",""
"source08","     ",""
"source09","     ",""
"source10","     ",""
"source11","     ",""
"source12","     ",""
"source13","     ",""
"source14","     ",""
"source15","     ",""
"source16","     ",""
"source17","     ",""
"source18","     ",""
"source19","     ",""
"source20","     ",""
"source21","     ",""
"source22","     ",""
"source23","     ",""
"source24","     ",""
"source25","     ",""
"source26","     ",""
"source27","     ",""
"source28","     ",""
"source29","     ",""
"source30","     ",""
"source31","     ",""
"source32","     ",""
"module_name","A24 ALG 704",""
